# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.399203 eV
#    Energy (eV)      DOS 
        -20.60079741          0.00000000
        -20.59579741          0.00000000
        -20.59079741          0.00000000
        -20.58579741          0.00000000
        -20.58079741          0.00000000
        -20.57579741          0.00000000
        -20.57079741          0.00000000
        -20.56579741          0.00000000
        -20.56079741          0.00000000
        -20.55579741          0.00000000
        -20.55079741          0.00000000
        -20.54579741          0.00000000
        -20.54079741          0.00000000
        -20.53579741          0.00000000
        -20.53079741          0.00000000
        -20.52579741          0.00000000
        -20.52079741          0.00000000
        -20.51579741          0.00000000
        -20.51079741          0.00000000
        -20.50579741          0.00000000
        -20.50079741          0.00000000
        -20.49579741          0.00000000
        -20.49079741          0.00000000
        -20.48579741          0.00000000
        -20.48079741          0.00000000
        -20.47579741          0.00000000
        -20.47079741          0.00000000
        -20.46579741          0.00000000
        -20.46079741          0.00000000
        -20.45579741          0.00000000
        -20.45079741          0.00000000
        -20.44579741          0.00000000
        -20.44079741          0.00000000
        -20.43579741          0.00000000
        -20.43079741          0.00000000
        -20.42579741          0.00000000
        -20.42079741          0.00000000
        -20.41579741          0.00000000
        -20.41079741          0.00000000
        -20.40579741          0.00000000
        -20.40079741          0.00000000
        -20.39579741          0.00000000
        -20.39079741          0.00000000
        -20.38579741          0.00000000
        -20.38079741          0.00000000
        -20.37579741          0.00000000
        -20.37079741          0.00000000
        -20.36579741          0.00000000
        -20.36079741          0.00000000
        -20.35579741          0.00000000
        -20.35079741          0.00000000
        -20.34579741          0.00000000
        -20.34079741          0.00000000
        -20.33579741          0.00000000
        -20.33079741          0.00000000
        -20.32579741          0.00000000
        -20.32079741          0.00000000
        -20.31579741          0.00000000
        -20.31079741          0.00000000
        -20.30579741          0.00000000
        -20.30079741          0.00000000
        -20.29579741          0.00000000
        -20.29079741          0.00000000
        -20.28579741          0.00000000
        -20.28079741          0.00000000
        -20.27579741          0.00000000
        -20.27079741          0.00000000
        -20.26579741          0.00000000
        -20.26079741          0.00000000
        -20.25579741          0.00000000
        -20.25079741          0.00000000
        -20.24579741          0.00000000
        -20.24079741          0.00000000
        -20.23579741          0.00000000
        -20.23079741          0.00000000
        -20.22579741          0.00000000
        -20.22079741          0.00000000
        -20.21579741          0.00000000
        -20.21079741          0.00000000
        -20.20579741          0.00000000
        -20.20079741          0.00000000
        -20.19579741          0.00000000
        -20.19079741          0.00000000
        -20.18579741          0.00000000
        -20.18079741          0.00000000
        -20.17579741          0.00000000
        -20.17079741          0.00000000
        -20.16579741          0.00000000
        -20.16079741          0.00000000
        -20.15579741          0.00000000
        -20.15079741          0.00000000
        -20.14579741          0.00000000
        -20.14079741          0.00000000
        -20.13579741          0.00000000
        -20.13079741          0.00000000
        -20.12579741          0.00000000
        -20.12079741          0.00000000
        -20.11579741          0.00000000
        -20.11079741          0.00000000
        -20.10579741          0.00000000
        -20.10079741          0.00000000
        -20.09579741          0.00000000
        -20.09079741          0.00000000
        -20.08579741          0.00000000
        -20.08079741          0.00000000
        -20.07579741          0.00000000
        -20.07079741          0.00000000
        -20.06579741          0.00000000
        -20.06079741          0.00000000
        -20.05579741          0.00000000
        -20.05079741          0.00000000
        -20.04579741          0.00000000
        -20.04079741          0.00000000
        -20.03579741          0.00000000
        -20.03079741          0.00000000
        -20.02579741          0.00000000
        -20.02079741          0.00000000
        -20.01579741          0.00000000
        -20.01079741          0.00000000
        -20.00579741          0.00000000
        -20.00079741          0.00000000
        -19.99579741          0.00000000
        -19.99079741          0.00000000
        -19.98579741          0.00000000
        -19.98079741          0.00000000
        -19.97579741          0.00000000
        -19.97079741          0.00000000
        -19.96579741          0.00000000
        -19.96079741          0.00000000
        -19.95579741          0.00000000
        -19.95079741          0.00000000
        -19.94579741          0.00000000
        -19.94079741          0.00000000
        -19.93579741          0.00000000
        -19.93079741          0.00000000
        -19.92579741          0.00000000
        -19.92079741          0.00000000
        -19.91579741          0.00000000
        -19.91079741          0.00000000
        -19.90579741          0.00000000
        -19.90079741          0.00000000
        -19.89579741          0.00000000
        -19.89079741          0.00000000
        -19.88579741          0.00000000
        -19.88079741          0.00000000
        -19.87579741          0.00000000
        -19.87079741          0.00000000
        -19.86579741          0.00000000
        -19.86079741          0.00000000
        -19.85579741          0.00000000
        -19.85079741          0.00000000
        -19.84579741          0.00000000
        -19.84079741          0.00000000
        -19.83579741          0.00000000
        -19.83079741          0.00000000
        -19.82579741          0.00000000
        -19.82079741          0.00000000
        -19.81579741          0.00000000
        -19.81079741          0.00000000
        -19.80579741          0.00000000
        -19.80079741          0.00000000
        -19.79579741          0.00000000
        -19.79079741          0.00000000
        -19.78579741          0.00000000
        -19.78079741          0.00000000
        -19.77579741          0.00000000
        -19.77079741          0.00000000
        -19.76579741          0.00000000
        -19.76079741          0.00000000
        -19.75579741          0.00000000
        -19.75079741          0.00000000
        -19.74579741          0.00000000
        -19.74079741          0.00000000
        -19.73579741          0.00000000
        -19.73079741          0.00000000
        -19.72579741          0.00000000
        -19.72079741          8.69803760
        -19.71579741          5.38470534
        -19.71079741          4.18827663
        -19.70579741          3.64797664
        -19.70079741          3.23119044
        -19.69579741          2.89991424
        -19.69079741          2.63028522
        -19.68579741          2.40656406
        -19.68079741          2.30840569
        -19.67579741          2.21794928
        -19.67079741          2.05678160
        -19.66579741          1.98468478
        -19.66079741          1.91747884
        -19.65579741          1.85468273
        -19.65079741          1.74069188
        -19.64579741          1.68880456
        -19.64079741          1.63992785
        -19.63579741          1.59380736
        -19.63079741          1.55021656
        -19.62579741          1.50895309
        -19.62079741          1.46983563
        -19.61579741          1.43270120
        -19.61079741          1.43270120
        -19.60579741          1.39740292
        -19.60079741          1.36380807
        -19.59579741          1.33179643
        -19.59079741          1.30125882
        -19.58579741          1.27209587
        -19.58079741          1.27209587
        -19.57579741          1.24421696
        -19.57079741          1.21753926
        -19.56579741          1.19198691
        -19.56079741          1.19198691
        -19.55579741          1.16749031
        -19.55079741          1.14398548
        -19.54579741          1.12141352
        -19.54079741          1.12141352
        -19.53579741          1.09972009
        -19.53079741          1.07885499
        -19.52579741          1.07885499
        -19.52079741          1.05877179
        -19.51579741          1.03942745
        -19.51079741          1.03942745
        -19.50579741          1.02078204
        -19.50079741          1.00279845
        -19.49579741          1.00279845
        -19.49079741          0.98544216
        -19.48579741          0.98544216
        -19.48079741          0.96868101
        -19.47579741          0.95248500
        -19.47079741          0.95248500
        -19.46579741          0.93682610
        -19.46079741         21.57797396
        -19.45579741         12.30330397
        -19.45079741          9.31724890
        -19.44579741          8.23235064
        -19.44079741          7.38126792
        -19.43579741          6.71608545
        -19.43079741          6.16093233
        -19.42579741          5.92633813
        -19.42079741          5.50128742
        -19.41579741          5.31965794
        -19.41079741          4.98311401
        -19.40579741          4.82580214
        -19.40079741          4.69085794
        -19.39579741          4.55258900
        -19.39079741          4.37910754
        -19.38579741          4.20769105
        -19.38079741          4.10955019
        -19.37579741          4.00545328
        -19.37079741          3.91792592
        -19.36579741          3.82390430
        -19.36079741          3.74535888
        -19.35579741          3.69721937
        -19.35079741          3.65993743
        -19.34579741          3.57849969
        -19.34079741          3.51104301
        -19.33579741          3.43648944
        -19.33079741          3.37517132
        -19.32579741          3.30661126
        -19.32079741          3.30661126
        -19.31579741          3.25063152
        -19.31079741          3.18732450
        -19.30579741          3.13601624
        -19.30079741          3.12652986
        -19.29579741          3.07734144
        -19.29079741          3.02090115
        -19.28579741          2.97557723
        -19.28079741          2.96656793
        -19.27579741          2.92300803
        -19.27079741          2.87232732
        -19.26579741          2.87232732
        -19.26079741          2.83200066
        -19.25579741          2.78459050
        -19.25079741          2.78459050
        -19.24579741          2.73879285
        -19.24079741          2.70268213
        -19.23579741          2.69452570
        -19.23079741          2.65967459
        -19.22579741          2.62601850
        -19.22079741          2.61805651
        -19.21579741          2.58553523
        -19.21079741          2.57776085
        -19.20579741          2.54631811
        -19.20079741          2.50830808
        -19.19579741          2.50830808
        -19.19079741          2.47886803
        -19.18579741          2.47144969
        -19.18079741          2.44294024
        -19.17579741          2.43569090
        -19.17079741          2.40806880
        -19.16579741          2.40806880
        -19.16079741          2.37420741
        -19.15579741          2.34824056
        -19.15079741          2.34131250
        -19.14579741          2.31611827
        -19.14079741          2.31611827
        -19.13579741          2.28488755
        -19.13079741          2.28488755
        -19.12579741          2.25451160
        -19.12079741          2.25451160
        -19.11579741          2.23143997
        -19.11079741          2.22495560
        -19.10579741          2.20253246
        -19.10079741          2.20253246
        -19.09579741          2.17438519
        -19.09079741          2.17438519
        -19.08579741          2.14696844
        -19.08079741          2.14696844
        -19.07579741          2.12633563
        -19.07079741          2.12025408
        -19.06579741          2.10017087
        -19.06079741          2.10017087
        -19.05579741          2.07466024
        -19.05079741          2.07466024
        -19.04579741          2.04977949
        -19.04079741          2.04977949
        -19.03579741          2.04977949
        -19.03079741          2.02550557
        -19.02579741          2.02550557
        -19.02079741          2.00741621
        -19.01579741          2.00181655
        -19.01079741          1.98417955
        -19.00579741          1.98417955
        -19.00079741          1.96149028
        -18.99579741          1.96149028
        -18.99079741          1.96149028
        -18.98579741          1.93932931
        -18.98079741          1.93932931
        -18.97579741          1.92295282
        -18.97079741          1.91767843
        -18.96579741          1.90169245
        -18.96079741          1.89652030
        -18.95579741          1.89652030
        -18.95079741          1.88091113
        -18.94579741          1.87583834
        -18.94079741          1.86059293
        -18.93579741          1.86059293
        -18.93079741          1.84072261
        -18.92579741          1.84072261
        -18.92079741          1.84072261
        -18.91579741          1.82128560
        -18.91079741          1.82128560
        -18.90579741          1.80705902
        -18.90079741          1.80226795
        -18.89579741          1.80226795
        -18.89079741          1.78835859
        -18.88579741          1.78365633
        -18.88079741          1.77005381
        -18.87579741          1.77005381
        -18.87079741          1.76543795
        -18.86579741          1.75213234
        -18.86079741          1.75213234
        -18.85579741          1.75213234
        -18.85079741          1.73458238
        -18.84579741          1.73458238
        -18.84079741          1.72184249
        -18.83579741          1.71739258
        -18.83079741          1.71739258
        -18.82579741          1.70492228
        -18.82079741          1.70055208
        -18.81579741          1.69444756
        -18.81079741          1.68834301
        -18.80579741          1.68405044
        -18.80079741          1.67209459
        -18.79579741          1.67209459
        -18.79079741          1.66787765
        -18.78579741          1.65616733
        -18.78079741          1.65616733
        -18.77579741          1.65202408
        -18.77079741          1.64055190
        -18.76579741          1.64055190
        -18.76079741          1.63493135
        -18.75579741          1.62523937
        -18.75079741          1.62523937
        -18.74579741          1.61422251
        -18.74079741          1.61022111
        -18.73579741          1.61022111
        -18.73079741          1.59942198
        -18.72579741          1.59548885
        -18.72079741          1.59548885
        -18.71579741          1.58490115
        -18.71079741          1.58490115
        -18.70579741          1.58103461
        -18.70079741          1.57065230
        -18.69579741         16.00234353
        -18.69079741         11.56761064
        -18.68579741          9.48879358
        -18.68079741          8.52766572
        -18.67579741          7.77065113
        -18.67079741          7.15440311
        -18.66579741          6.65595663
        -18.66079741          6.43856118
        -18.65579741          6.04146798
        -18.65079741          5.87138461
        -18.64579741          5.71367793
        -18.64079741          5.41712743
        -18.63579741          5.28941177
        -18.63079741          5.16981127
        -18.62579741          5.04813849
        -18.62079741          4.93905351
        -18.61579741          4.83964888
        -18.61079741          4.73658537
        -18.60579741          4.64443234
        -18.60079741          4.56051234
        -18.59579741          4.47186128
        -18.59079741          4.39633933
        -18.58579741          4.32110870
        -18.58079741          4.24385456
        -18.57579741          4.17875186
        -18.57079741          4.11325890
        -18.56579741          4.10448770
        -18.56079741          4.04517899
        -18.55579741          3.98848191
        -18.55079741          3.92227815
        -18.54579741          3.87031314
        -18.54079741          3.87031314
        -18.53579741          3.81626384
        -18.53079741          3.76094958
        -18.52579741          3.71504655
        -18.52079741          3.71504655
        -18.51579741          3.65938435
        -18.51079741          3.61695309
        -18.50579741          3.61695309
        -18.50079741          3.56794137
        -18.49579741          3.52542258
        -18.49079741          3.52542258
        -18.48579741          3.47947610
        -18.48079741          3.44290599
        -18.47579741          3.43977420
        -18.47079741          3.40448009
        -18.46579741          3.36250362
        -18.46079741          3.35941977
        -18.45579741          3.32648584
        -18.45079741          3.31872670
        -18.44579741          3.28688538
        -18.44079741          3.25304644
        -18.43579741          3.24541785
        -18.43079741          3.21560535
        -18.42579741          3.21560535
        -18.42079741          3.18374453
        -18.41579741          3.16225794
        -18.41079741          3.14827253
        -18.40579741          3.12115955
        -18.40079741          3.11083645
        -18.39579741          3.08454260
        -18.39079741          3.08454260
        -18.38579741          3.04887369
        -18.38079741          3.04887369
        -18.37579741          3.02411110
        -18.37079741          3.02411110
        -18.36579741          2.99006842
        -18.36079741          2.99006842
        -18.35579741          2.96670783
        -18.35079741          2.95968649
        -18.34579741          2.93416577
        -18.34079741          2.93416577
        -18.33579741          2.91209210
        -18.33079741          2.90518378
        -18.32579741          2.88093837
        -18.32079741          2.88093837
        -18.31579741          2.85664985
        -18.31079741          2.85325090
        -18.30579741          2.83018264
        -18.30079741          2.83018264
        -18.29579741          2.80369504
        -18.29079741          2.80369504
        -18.28579741          2.78171582
        -18.28079741          2.78171582
        -18.27579741          2.75634285
        -18.27079741          2.75634285
        -18.26579741          2.73537328
        -18.26079741          2.72889182
        -18.25579741          2.71103795
        -18.25079741          2.71103795
        -18.24579741          2.70841863
        -18.24079741          2.68462568
        -18.23579741          2.68462568
        -18.23079741          2.66763896
        -18.22579741          2.66505684
        -18.22079741          2.64219831
        -18.21579741          2.64219831
        -18.21079741          2.63410799
        -18.20579741          2.61728629
        -18.20079741          2.61728629
        -18.19579741          2.60148756
        -18.19079741          2.60148756
        -18.18579741          2.57745622
        -18.18079741          2.57745622
        -18.17579741          2.57745622
        -18.17079741          2.56238230
        -18.16579741          2.55390830
        -18.16079741          2.53917844
        -18.15579741          2.53917844
        -18.15079741          2.52478116
        -18.14579741          2.51887232
        -18.14079741          2.51643183
        -18.13579741          2.50235612
        -18.13079741          2.49653567
        -18.12579741          2.48277104
        -18.12079741          2.48036425
        -18.11579741          2.48036425
        -18.11079741          2.46116672
        -18.10579741          2.46116672
        -18.10079741          2.45220689
        -18.09579741          2.44562078
        -18.09079741          2.43997158
        -18.08579741          2.42708156
        -18.08079741          2.42474027
        -18.07579741          2.42474027
        -18.07079741          2.40655739
        -18.06579741          2.40655739
        -18.06079741          2.39189618
        -18.05579741          2.39189618
        -18.05079741          2.38641122
        -18.04579741          2.37431627
        -18.04079741          2.37431627
        -18.03579741          2.37203803
        -18.03079741          2.35478675
        -18.02579741          2.35478675
        -18.02079741          2.34318236
        -18.01579741          2.34093478
        -18.01079741          2.33560744
        -18.00579741          2.32423744
        -18.00079741          2.32423744
        -17.99579741          2.32201995
