# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -3.514204 eV
#    Energy (eV)      DOS 
        -20.51079555          0.00000000
        -20.50579555          0.00000000
        -20.50079555          0.00000000
        -20.49579555          0.00000000
        -20.49079555          0.00000000
        -20.48579555          0.00000000
        -20.48079555          0.00000000
        -20.47579555          0.00000000
        -20.47079555          0.00000000
        -20.46579555          0.00000000
        -20.46079555          0.00000000
        -20.45579555          0.00000000
        -20.45079555          0.00000000
        -20.44579555          0.00000000
        -20.44079555          0.00000000
        -20.43579555          0.00000000
        -20.43079555          0.00000000
        -20.42579555          0.00000000
        -20.42079555          0.00000000
        -20.41579555          0.00000000
        -20.41079555          0.00000000
        -20.40579555          0.00000000
        -20.40079555          0.00000000
        -20.39579555          0.00000000
        -20.39079555          0.00000000
        -20.38579555          0.00000000
        -20.38079555          0.00000000
        -20.37579555          0.00000000
        -20.37079555          0.00000000
        -20.36579555          0.00000000
        -20.36079555          0.00000000
        -20.35579555          0.00000000
        -20.35079555          0.00000000
        -20.34579555          0.00000000
        -20.34079555          0.00000000
        -20.33579555          0.00000000
        -20.33079555          0.00000000
        -20.32579555          0.00000000
        -20.32079555          0.00000000
        -20.31579555          0.00000000
        -20.31079555          0.00000000
        -20.30579555          0.00000000
        -20.30079555          0.00000000
        -20.29579555          0.00000000
        -20.29079555          0.00000000
        -20.28579555          0.00000000
        -20.28079555          0.00000000
        -20.27579555          0.00000000
        -20.27079555          0.00000000
        -20.26579555          0.00000000
        -20.26079555          0.00000000
        -20.25579555          0.00000000
        -20.25079555          0.00000000
        -20.24579555          0.00000000
        -20.24079555          0.00000000
        -20.23579555          0.00000000
        -20.23079555          0.00000000
        -20.22579555          0.00000000
        -20.22079555          0.00000000
        -20.21579555          0.00000000
        -20.21079555          0.00000000
        -20.20579555          0.00000000
        -20.20079555          0.00000000
        -20.19579555          0.00000000
        -20.19079555          0.00000000
        -20.18579555          0.00000000
        -20.18079555          0.00000000
        -20.17579555          0.00000000
        -20.17079555          0.00000000
        -20.16579555          0.00000000
        -20.16079555          0.00000000
        -20.15579555          0.00000000
        -20.15079555          0.00000000
        -20.14579555          0.00000000
        -20.14079555          0.00000000
        -20.13579555          0.00000000
        -20.13079555          0.00000000
        -20.12579555          0.00000000
        -20.12079555          0.00000000
        -20.11579555          0.00000000
        -20.11079555          0.00000000
        -20.10579555          0.00000000
        -20.10079555          0.00000000
        -20.09579555          0.00000000
        -20.09079555          0.00000000
        -20.08579555          0.00000000
        -20.08079555          0.00000000
        -20.07579555          0.00000000
        -20.07079555          0.00000000
        -20.06579555          0.00000000
        -20.06079555          0.00000000
        -20.05579555          0.00000000
        -20.05079555          0.00000000
        -20.04579555          0.00000000
        -20.04079555          0.00000000
        -20.03579555          0.00000000
        -20.03079555          0.00000000
        -20.02579555          0.00000000
        -20.02079555          0.00000000
        -20.01579555          0.00000000
        -20.01079555          0.00000000
        -20.00579555          0.00000000
        -20.00079555          0.00000000
        -19.99579555          0.00000000
        -19.99079555          0.00000000
        -19.98579555          0.00000000
        -19.98079555          0.00000000
        -19.97579555          0.00000000
        -19.97079555          0.00000000
        -19.96579555          0.00000000
        -19.96079555          0.00000000
        -19.95579555          0.00000000
        -19.95079555          0.00000000
        -19.94579555          0.00000000
        -19.94079555          0.00000000
        -19.93579555          0.00000000
        -19.93079555          0.00000000
        -19.92579555          0.00000000
        -19.92079555          0.00000000
        -19.91579555          0.00000000
        -19.91079555          0.00000000
        -19.90579555          0.00000000
        -19.90079555          0.00000000
        -19.89579555          0.00000000
        -19.89079555          0.00000000
        -19.88579555          0.00000000
        -19.88079555          0.00000000
        -19.87579555          0.00000000
        -19.87079555          0.00000000
        -19.86579555          0.00000000
        -19.86079555          0.00000000
        -19.85579555          0.00000000
        -19.85079555          0.00000000
        -19.84579555          0.00000000
        -19.84079555          0.00000000
        -19.83579555          0.00000000
        -19.83079555          0.00000000
        -19.82579555          0.00000000
        -19.82079555          0.00000000
        -19.81579555          0.00000000
        -19.81079555          0.00000000
        -19.80579555          0.00000000
        -19.80079555          0.00000000
        -19.79579555          0.00000000
        -19.79079555          0.00000000
        -19.78579555          0.00000000
        -19.78079555          0.00000000
        -19.77579555          0.00000000
        -19.77079555          0.00000000
        -19.76579555          0.00000000
        -19.76079555          0.00000000
        -19.75579555          0.00000000
        -19.75079555          0.00000000
        -19.74579555          0.00000000
        -19.74079555          0.00000000
        -19.73579555          0.00000000
        -19.73079555          0.00000000
        -19.72579555          0.00000000
        -19.72079555          0.00000000
        -19.71579555          0.00000000
        -19.71079555          0.00000000
        -19.70579555          0.00000000
        -19.70079555          0.00000000
        -19.69579555          0.00000000
        -19.69079555          0.00000000
        -19.68579555          0.00000000
        -19.68079555          0.00000000
        -19.67579555          0.00000000
        -19.67079555          0.00000000
        -19.66579555          0.00000000
        -19.66079555          0.00000000
        -19.65579555          0.00000000
        -19.65079555          0.00000000
        -19.64579555          0.00000000
        -19.64079555          0.00000000
        -19.63579555          0.00000000
        -19.63079555          0.00000000
        -19.62579555          0.00000000
        -19.62079555          0.00000000
        -19.61579555          0.00000000
        -19.61079555          0.00000000
        -19.60579555          0.00000000
        -19.60079555          0.00000000
        -19.59579555          0.00000000
        -19.59079555          0.00000000
        -19.58579555          0.00000000
        -19.58079555          0.00000000
        -19.57579555          0.00000000
        -19.57079555          0.00000000
        -19.56579555          0.00000000
        -19.56079555          0.00000000
